capas,activacion,lr,epochs,MSE,Revenue_Error_%
Baseline,LR,N/A,N/A,2.0328494184376265,39.81759379871379
[8],relu,0.01,300,2.272833094465518,41.94454379490848
[16],relu,0.01,300,2.224044593061456,41.86839577357882
"[8, 8]",relu,0.01,300,2.17698053529147,41.464561468691194
[8],sigmoid,0.01,300,2.0549146634666977,40.237365881016025
[16],sigmoid,0.001,300,2.6365460336794766,44.776016406095394
"[8, 8]",sigmoid,0.01,500,2.0329205776606942,39.83011696519494
[8],tanh,0.01,300,2.0536871294257257,40.17524003777811
[16],tanh,0.01,300,2.0740174455452056,40.423574348663635
"[8, 8]",tanh,0.005,300,2.0534024684601273,40.254576209031875
